company_name,categories
Pasito,"Administrative Services, Financial Services, Health Care, Software"
OneSchema,"Data and Analytics, Software"
Repool,"Financial Services, Lending and Investments, Software"
Hadrius,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Planet A Foods,"Food and Beverage, Manufacturing, Sustainability"
Nash,"Administrative Services, Software, Transportation"
Formance,"Financial Services, Payments, Software"
Method Financial,"Financial Services, Lending and Investments, Payments"
Infinity AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Codex,"Information Technology, Internet Services, Software"
Journey,"Information Technology, Sales and Marketing, Software"
Diversion Company,"Information Technology, Internet Services, Software"
Invert,"Data and Analytics, Software"
Cashmere,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Payments, Software"
Govly,"Data and Analytics, Design, Government and Military, Information Technology, Sales and Marketing, Software"
Almond,"Community and Lifestyle, Health Care"
Fizz,"Financial Services, Lending and Investments, Payments"
Mach9,"Artificial Intelligence (AI), Data and Analytics, Software"
Byterat,"Data and Analytics, Energy, Software"
Array Labs,Manufacturing
Float Health,Health Care
Shaped,Software
GovDash,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software, Transportation"
Ping,"Blockchain and Cryptocurrency, Financial Services, Payments, Software"
Boya,"Apps, Financial Services, Lending and Investments, Payments, Software"
Glass Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Sensible Biotechnologies,"Biotechnology, Health Care, Science and Engineering"
Shinkei Systems,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Transportation"
Noble,"Financial Services, Lending and Investments, Software"
Spinach AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Beam,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Abatable,"Financial Services, Information Technology, Manufacturing, Media and Entertainment"
Adni,"Apps, Health Care, Software"
LunaJoy,Health Care
Cerrion,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software"
ContraForce,"Privacy and Security, Software"
Trela,"Commerce and Shopping, Food and Beverage, Information Technology"
Superorder,"Food and Beverage, Transportation"
Trackstar,"Data and Analytics, Information Technology, Software, Transportation"
Strac,"Information Technology, Software"
FoodCourt,"Apps, Food and Beverage, Mobile, Software"
Cleancard,Health Care
Cypher Wallet,"Blockchain and Cryptocurrency, Financial Services, Payments, Software"
Fleetzero,"Energy, Transportation"
Lago,"Data and Analytics, Information Technology, Software"
Peakflo,"Financial Services, Information Technology, Software"
Astro Mechanica,Science and Engineering
Mecho,"Financial Services, Information Technology, Internet Services, Transportation"
Coinfeeds,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software"
Ping Labs,"Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software, Video"
Stellar Sleep,"Apps, Health Care, Media and Entertainment, Mobile, Software"
Fello,Financial Services
Pana,"Financial Services, Lending and Investments"
Rejoy Health,Health Care
Sameday,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Noloco,"Consumer Electronics, Data and Analytics, Hardware, Software"
Kivo Health,"Health Care, Mobile"
Bolster,"Commerce and Shopping, Financial Services, Internet Services, Real Estate, Software"
Palette,"Information Technology, Other, Sales and Marketing, Software"
Hive Health,"Financial Services, Health Care"
Verde,"Agriculture and Farming, Financial Services"
Anja Health,Health Care
Encord,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
wOS,"Apps, Blockchain and Cryptocurrency, Education, Health Care, Internet Services, Mobile, Software, Sports"
NewsCatcher,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Financial Services, Information Technology, Internet Services, Media and Entertainment, Professional Services, Science and Engineering, Software"
Swipe,"Financial Services, Payments, Software"
OneText,"Commerce and Shopping, Financial Services, Payments, Sales and Marketing"
Gradia Health,"Health Care, Information Technology"
Clear,"Apps, Commerce and Shopping, Consumer Goods, Data and Analytics, Design, Financial Services, Health Care, Information Technology, Internet Services, Media and Entertainment, Payments, Software"
Pina Earth,"Agriculture and Farming, Sustainability"
Harmonic Discovery,"Biotechnology, Health Care, Science and Engineering"
Ivy Homes,Real Estate
Pluto.markets,"Apps, Financial Services, Lending and Investments, Software"
Bujeti,"Financial Services, Other, Payments"
Dataherald,"Data and Analytics, Design, Information Technology, Internet Services, Software"
Bobidi,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Per Diem,"Apps, Commerce and Shopping, Mobile, Software"
Finku,"Apps, Financial Services, Software"
Mentum,"Financial Services, Software"
Marathon Education,"Education, Software"
Ozone,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software, Video"
UpBanx,Financial Services
Byte Kitchen,"Food and Beverage, Other"
SigmaOS,"Consumer Electronics, Hardware, Software"
Terrace,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software"
Material Depot,"Commerce and Shopping, Design, Real Estate, Software"
Lenco,"Financial Services, Lending and Investments, Software"
Toko,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Argus,"Financial Services, Other, Professional Services"
Cumbuca,"Financial Services, Software"
Wingback,"Other, Software"
Alfie Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
SproutFi,"Financial Services, Lending and Investments"
RecordBook,"Apps, Information Technology, Software"
Cotera,"Data and Analytics, Information Technology, Sales and Marketing, Software"
WarpBuild,"Artificial Intelligence (AI), Hardware, Internet Services, Software"
Delfino AI,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Markaz Technologies,Commerce and Shopping
Compra Rapida,"Commerce and Shopping, Other, Professional Services, Software"
Lumina_2,"Administrative Services, Education, Information Technology, Professional Services"
Zoltar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software"
Measured,"Health Care, Sports"
Trebol,"Financial Services, Other"
Hammr,"Information Technology, Internet Services, Real Estate"
FinFlx,Financial Services
Vista,"Apps, Information Technology, Software"
Snab,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software"
Uberduck,"Data and Analytics, Software"
Evolvere BioSciences,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Illuminant Surgical,Health Care
Firezone,"Information Technology, Privacy and Security, Software"
Aerotime,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software"
Alima,"Agriculture and Farming, Transportation"
Telematica,"Energy, Natural Resources, Real Estate, Software, Sustainability, Transportation"
Orca,"Financial Services, Lending and Investments"
Whaly,"Data and Analytics, Software"
Decent,"Blockchain and Cryptocurrency, Design, Information Technology, Internet Services, Media and Entertainment, Software"
Siftly,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Blacktop Hoops,"Consumer Electronics, Gaming, Hardware, Software"
Roforco,"Financial Services, Gaming, Lending and Investments"
Electric Air,"Consumer Electronics, Hardware, Real Estate"
Finley Technologies,"Financial Services, Information Technology, Professional Services, Software"
Onward,"Apps, Artificial Intelligence (AI), Data and Analytics, Messaging and Telecommunications, Science and Engineering, Software"
ShipBlu,"Administrative Services, Commerce and Shopping, Transportation"
Qoohoo,"Media and Entertainment, Software"
Synth,"Media and Entertainment, Music and Audio, Software, Video"
FlexWash Technologies,"Commerce and Shopping, Information Technology, Sales and Marketing, Software"
Patika,"Financial Services, Payments"
Verse,"Apps, Mobile, Science and Engineering, Software"
Nyckel,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software"
Lyra,"Blockchain and Cryptocurrency, Financial Services, Payments, Software"
HeyFood,"Apps, Food and Beverage, Software, Transportation"
Cabal,"Financial Services, Software"
Zinite,Real Estate
Feanix Biotechnologies,"Biotechnology, Health Care, Science and Engineering"
Fluid Markets,Financial Services
Candor,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software"
Glocally,"Commerce and Shopping, Internet Services, Transportation"
Pivo,"Financial Services, Lending and Investments"
Amal Invest,"Apps, Financial Services, Software"
NFTScoring,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Lending and Investments, Payments, Software"
Obento Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software"
Idemeum,"Information Technology, Privacy and Security"
Flow.Club,"Information Technology, Media and Entertainment, Real Estate, Video"
JumpWire,"Data and Analytics, Information Technology, Other, Privacy and Security, Software"
Weltio,"Apps, Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Mobile, Payments, Software"
Hera,"Consumer Electronics, Hardware, Software"
MagnaPlay,"Artificial Intelligence (AI), Data and Analytics, Gaming, Professional Services, Science and Engineering, Software"
Northwind,Health Care
Valari,"Financial Services, Lending and Investments, Software"
Darsel,"Education, Software"
Valink Therapeutics,Health Care
Blocksfabrik,Software
Rinse,"Events, Health Care, Media and Entertainment"
Dime,"Blockchain and Cryptocurrency, Commerce and Shopping, Internet Services, Other"
Tinai,"Apps, Financial Services, Mobile, Sales and Marketing, Software"
Caire Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Garage Mobility,"Commerce and Shopping, Software, Transportation"
Nuntius Therapeutics,"Biotechnology, Health Care, Science and Engineering"
ContainIQ,"Information Technology, Software"
Power to the Brand,"Other, Sales and Marketing, Transportation"
Ohmic Biosciences,"Agriculture and Farming, Biotechnology, Health Care, Science and Engineering"
Trueplace,"Financial Services, Real Estate"
Metofico,"Biotechnology, Science and Engineering, Software"
Pluralith,"Hardware, Internet Services, Software"
Tantl,"Information Technology, Internet Services"
Lifecast,"Artificial Intelligence (AI), Data and Analytics, Hardware, Media and Entertainment, Software, Video"
Pursuit,"Sales and Marketing, Sports, Travel and Tourism"
Pelm,"Energy, Other, Software"
FirstSupport,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Rulebricks,"Administrative Services, Other, Software"
Watu,"Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Other, Sales and Marketing, Software"
TAI,"Apps, Financial Services, Information Technology, Mobile, Software"
TechBiz,"Apps, Mobile, Other, Software"
Aklimate,"Information Technology, Other, Software"
Hero,"Other, Software"
SliceQ,"Commerce and Shopping, Food and Beverage, Software, Transportation"
Umbria,"Apps, Information Technology, Sales and Marketing, Software"
Manatee,"Other, Sales and Marketing"
Kredi,"Financial Services, Lending and Investments"
Commery,"Commerce and Shopping, Financial Services, Real Estate"
Gym Class,"Gaming, Hardware, Software, Sports"
Slip,"Education, Information Technology, Software"
Capitol AI,"Apps, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software"
Lunatic,"Internet Services, Platforms, Software"
re-mint,"Clothing and Apparel, Design"
Gallery,"Hardware, Information Technology, Internet Services, Software"
Launcher Labs,"Apps, Information Technology, Software"
Algofi,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software"
Camp,"Government and Military, Information Technology, Other"
Float,"Financial Services, Transportation"
PINA Indonesia,"Apps, Financial Services, Software"
Mahaana,Financial Services
Brick Health,"Health Care, Real Estate"
Atlas,"Food and Beverage, Internet Services, Platforms, Software"
Camber,"Data and Analytics, Financial Services, Health Care, Information Technology, Software"
Telmai,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Beyond Aero,"Manufacturing, Science and Engineering, Transportation"
ModernLoop,"Information Technology, Messaging and Telecommunications, Professional Services, Software"
Emerge Tools,"Mobile, Platforms, Software"
Chatwoot,"Information Technology, Other, Professional Services, Sales and Marketing, Software"
Spade,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Vue Storefront,"Commerce and Shopping, Hardware, Internet Services, Software"
Catena Biosciences,"Biotechnology, Science and Engineering"
FlutterFlow,"Apps, Information Technology, Mobile, Software"
Arrow_1,"Commerce and Shopping, Financial Services, Payments"
Topkey,"Financial Services, Real Estate, Software, Travel and Tourism"
Rootly,"Information Technology, Software"
Brainboard,"Hardware, Information Technology, Internet Services, Software"
Scispot,"Biotechnology, Science and Engineering, Software"
Taloflow,"Consumer Electronics, Hardware, Information Technology, Internet Services, Software"
Nullstone,Software
Fabius,"Other, Sales and Marketing, Software"
MagicBell,Software
Pickle_2,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software"
Impossible Metals_1,"Hardware, Natural Resources, Science and Engineering, Software"
Escape,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
Mono_1,"Financial Services, Lending and Investments"
Compose.AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Science and Engineering, Software"
Tablevibe,"Food and Beverage, Information Technology, Software, Travel and Tourism"
Koshex,Financial Services
SigNoz,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software"
Muse,"Hardware, Other, Software"
Gridware,"Energy, Internet Services, Software"
Lygg,"Consumer Goods, Health Care, Manufacturing"
Cococart,"Commerce and Shopping, Other"
Cloudthread,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software"
Strive Education,"Education, Internet Services, Software"
Treinta,Financial Services
FanPlay Technologies,Gaming
"Explorex Technologies, Inc.","Apps, Commerce and Shopping, Financial Services, Food and Beverage, Mobile, Payments, Software"
AuthZed,"Information Technology, Privacy and Security, Software"
Quell,"Community and Lifestyle, Gaming, Information Technology, Media and Entertainment, Software, Sports"
Talus Bio,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
GrowthBook,"Data and Analytics, Other, Software"
Ontop,"Administrative Services, Financial Services, Information Technology, Professional Services, Software"
Remedial Health,"Commerce and Shopping, Health Care, Other"
Milk Video,"Content and Publishing, Media and Entertainment, Sales and Marketing, Video"
Hapi App,"Financial Services, Lending and Investments"
Peeba,"Commerce and Shopping, Information Technology"
Aden,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Cambio,Financial Services
User Hero,"Data and Analytics, Design, Software"
Segna,"Artificial Intelligence (AI), Data and Analytics, Software"
TAG,"Apps, Financial Services, Mobile, Payments, Software"
Grey,"Financial Services, Lending and Investments"
Kaagaz,"Apps, Software"
Here,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software"
Mesh,"Administrative Services, Information Technology, Internet Services, Software"
Topship,"Platforms, Software, Transportation"
Kindly His,Health Care
Nabla Bio,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Tella,"Content and Publishing, Media and Entertainment, Software, Video"
Locale,"Commerce and Shopping, Food and Beverage, Internet Services, Transportation"
Spruce,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Other, Payments, Privacy and Security, Software"
Heron Data,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Lending and Investments, Science and Engineering, Software"
Keyri,"Information Technology, Internet Services, Privacy and Security"
Routine,"Apps, Software"
Portão 3,"Financial Services, Lending and Investments, Payments, Travel and Tourism"
Onboard (Onboard.io),"Other, Software"
Abacum,"Financial Services, Information Technology, Software"
Notabene,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software"
MedPiper (YC),"Financial Services, Health Care, Internet Services"
Selia,"Health Care, Mobile"
Pibit,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Fieldguide,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software"
Parrot Software,"Food and Beverage, Other, Software"
Cohere,"Information Technology, Other, Software"
Jam.gg,"Gaming, Information Technology, Internet Services"
Lightdash,"Data and Analytics, Design, Information Technology, Software"
FitHub,"Administrative Services, Commerce and Shopping, Food and Beverage, Health Care, Sports"
Blink Last Mile,"Administrative Services, Commerce and Shopping, Transportation"
MeetAnyway,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software"
Covie,"Financial Services, Software"
Oico,"Commerce and Shopping, Real Estate"
Breadcrumbs.io,"Data and Analytics, Sales and Marketing, Software"
Simplify,"Community and Lifestyle, Professional Services, Software"
Lendtable,"Financial Services, Lending and Investments, Payments"
Jiga,"Manufacturing, Other, Software, Transportation"
Albiware,"Information Technology, Internet Services, Software"
Nano Technologies,"Financial Services, Software"
Faction,"Hardware, Science and Engineering, Software, Transportation"
Fetii,"Apps, Mobile, Software, Transportation"
Seam,"Internet Services, Software"
Enable Us,"Information Technology, Other, Sales and Marketing, Software"
Trove,"Community and Lifestyle, Software"
Happl,"Community and Lifestyle, Health Care, Other"
Segments.ai,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
gonddo,"Commerce and Shopping, Other"
Devyce,"Apps, Hardware, Other, Software"
Hotplate,"Food and Beverage, Internet Services, Software"
arketa,"Health Care, Software, Sports"
TYBR Health,Health Care
Chatpay,"Consumer Electronics, Hardware, Software"
Valienta,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software"
DolarApp,"Apps, Financial Services, Lending and Investments, Software"
Decentro,"Financial Services, Lending and Investments, Payments, Software"
Palla,"Apps, Financial Services, Mobile, Payments, Software"
Airbyte,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software"
Taktile,"Financial Services, Software"
Slash,"Financial Services, Lending and Investments, Payments"
Vitable Health,"Financial Services, Health Care"
Axle Health,Health Care
Raycast,"Apps, Information Technology, Software"
Atomic,"Financial Services, Other"
Osmind,Health Care
Aleph,"Financial Services, Information Technology, Internet Services, Software"
Alinea,"Financial Services, Lending and Investments"
Toku,"Financial Services, Information Technology, Other, Software"
LemFi,"Financial Services, Lending and Investments"
Tavus,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Darrow,"Data and Analytics, Information Technology, Professional Services, Software"
Humanly.io,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
Blue Onion Labs,"Financial Services, Payments, Professional Services, Software"
MarqVision (Marq AI),"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Fathom,"Apps, Media and Entertainment, Messaging and Telecommunications, Software, Video"
Riot,"Education, Information Technology, Privacy and Security, Software"
Optery,"Information Technology, Privacy and Security, Software"
Fractional,"Information Technology, Real Estate"
Cocoon_1,"Administrative Services, Financial Services, Health Care, Professional Services, Software"
Recall.ai,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software"
AOA,"Biotechnology, Health Care, Science and Engineering"
Topline Pro,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Science and Engineering, Software"
Vendease,"Apps, Commerce and Shopping, Food and Beverage, Software"
Albedo,"Data and Analytics, Manufacturing, Navigation and Mapping, Science and Engineering"
Wasp,"Information Technology, Software"
SafeBase,"Information Technology, Privacy and Security, Sales and Marketing, Software"
Draftwise,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software"
Mayan,"Advertising, Commerce and Shopping, Data and Analytics, Sales and Marketing, Software"
Spline,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Science and Engineering, Software"
Zuddl,"Events, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software"
Verifiable,"Health Care, Other, Software"
Command AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Accord,"Sales and Marketing, Software"
Junction_1,"Health Care, Software"
Humanloop,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Manara,"Community and Lifestyle, Education, Professional Services"
Enode,"Information Technology, Software"
Glimpse,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software"
voize,"Information Technology, Internet Services, Messaging and Telecommunications, Software"
Highlight,Software
Authologic,"Information Technology, Privacy and Security, Software"
Bloom Community,Community and Lifestyle
Signadot,"Information Technology, Science and Engineering, Software"
Statiq,"Energy, Transportation"
Navattic,"Other, Sales and Marketing, Software"
Haven_2,"Financial Services, Real Estate"
BotBuilt,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Lion Pose,"Community and Lifestyle, Consumer Goods"
Humaans,"Administrative Services, Internet Services, Other, Software"
Pine Park Health,Health Care
Therify,"Administrative Services, Health Care"
Ramani,"Information Technology, Sales and Marketing, Software"
Jemi,"Commerce and Shopping, Internet Services, Media and Entertainment, Sales and Marketing"
CoreCare,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Great Question,"Design, Information Technology"
Emobi,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability, Transportation"
Malga,"Financial Services, Payments, Software"
Inflow,"Health Care, Mobile"
Mono_2,"Data and Analytics, Financial Services, Payments"
Promoted.ai,"Advertising, Commerce and Shopping, Sales and Marketing"
Fintoc,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software"
Pillar,"Commerce and Shopping, Internet Services, Media and Entertainment"
Neodocs,"Health Care, Software"
Biodock,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Weav,"Financial Services, Information Technology, Software"
HENRY,"Data and Analytics, Education, Software"
Hubla,"Design, Financial Services, Other"
Finmark,"Financial Services, Information Technology, Software"
Avenue,Software
Basedash,"Data and Analytics, Information Technology, Software"
Morada Uno,Real Estate
Aqua,Financial Services
Rebill,"Commerce and Shopping, Financial Services, Other, Payments, Software"
Uiflow,"Other, Software"
Hyper,"Apps, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software"
Union54,"Financial Services, Payments"
Amenli,Financial Services
StartPlaying,"Community and Lifestyle, Gaming, Information Technology, Media and Entertainment"
DeepSim,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software"
Aquarium,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
SPRX Technologies,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Invopop,"Financial Services, Professional Services, Software"
Abstra,"Information Technology, Professional Services, Software"
Yemaachi Biotechnology,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Fig,"Apps, Information Technology, Software"
SalaryBox,"Apps, Mobile, Software"
Streamdal,"Data and Analytics, Information Technology, Software"
Plerk,"Administrative Services, Health Care, Software"
Pandai,"Apps, Education, Software"
EPICODE,"Education, Professional Services, Software"
Logica,"Financial Services, Software"
HOKALI,"Commerce and Shopping, Education, Other, Software, Sports"
PideDirecto,"Administrative Services, Commerce and Shopping, Sales and Marketing"
Jitter,"Advertising, Design, Media and Entertainment, Sales and Marketing, Software, Video"
GradeWiz,"Education, Software"
Varos,"Data and Analytics, Information Technology, Sales and Marketing, Software"
Sturdy Finance,"Blockchain and Cryptocurrency, Financial Services, Payments, Software"
Bristle,"Apps, Health Care, Mobile, Software"
Ariglad,"Administrative Services, Events, Information Technology, Media and Entertainment, Other, Professional Services, Software"
Credibook,"Financial Services, Other, Software"
Nimbus,"Data and Analytics, Information Technology, Software"
AppX,"Apps, Education, Mobile, Other, Software"
Gather,"Community and Lifestyle, Hardware, Information Technology, Media and Entertainment, Software"
Café,"Administrative Services, Apps, Internet Services, Mobile, Software"
Flextock,"Commerce and Shopping, Transportation"
Gigs,"Hardware, Mobile, Other, Software"
Cron,"Apps, Information Technology, Software"
Playhouse,"Internet Services, Real Estate"
Pigeon_2,"Financial Services, Payments"
Crew.work,"Information Technology, Professional Services, Sales and Marketing, Software"
Kamion,"Information Technology, Software, Transportation"
Samos,Financial Services
Venue,"Content and Publishing, Information Technology, Media and Entertainment, Sales and Marketing, Video"
Camlist,"Apps, Community and Lifestyle, Mobile, Software"
HelperAI,Software
Pabio,"Commerce and Shopping, Consumer Goods, Design, Other, Real Estate"
Modulari-T Biosciences,"Biotechnology, Health Care, Science and Engineering"
Clearmix,"Content and Publishing, Media and Entertainment, Software, Video"
Raven,"Other, Software"
Nino Foods,"Food and Beverage, Transportation"
HomeBreeze,"Commerce and Shopping, Real Estate, Software"
CashBook,"Apps, Financial Services, Information Technology, Software"
Impossible Metals_2,"Energy, Hardware, Natural Resources, Science and Engineering, Software"
StayQrious,"Education, Software"
AlgoUniversity,"Education, Science and Engineering, Software"
Akudo,"Financial Services, Payments"
Fondo,"Financial Services, Professional Services, Software"
PayO,"Financial Services, Lending and Investments, Payments, Software"
Athens Research,Information Technology
Suplias,"Apps, Commerce and Shopping, Mobile, Software"
Ponyrun,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Goodkind,"Administrative Services, Education, Media and Entertainment, Other, Software, Video"
Procoto,"Sales and Marketing, Software"
HyperGlue,"Artificial Intelligence (AI), Data and Analytics, Software"
MadEats,"Food and Beverage, Internet Services, Transportation"
Kosmos,"Information Technology, Internet Services, Other, Software"
Trendpop,"Advertising, Data and Analytics, Sales and Marketing, Software"
Cardda,"Financial Services, Hardware, Information Technology, Lending and Investments, Payments, Software"
Pyrls,Health Care
Noya,"Energy, Hardware, Manufacturing, Science and Engineering, Sustainability"
Streak,"Financial Services, Payments"
QuickVid.ai,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Rally Video,"Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services, Video"
Weekday,"Administrative Services, Information Technology, Professional Services"
dyte,"Information Technology, Software"
H3X Technologies,"Manufacturing, Science and Engineering, Transportation"
Supertone,"Media and Entertainment, Music and Audio"
Mozart Data,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Science and Engineering, Software"
Ukama,"Hardware, Information Technology, Internet Services, Software"
Circle,"Administrative Services, Media and Entertainment, Professional Services, Software, Video"
Baraka,Financial Services
Onfolk,"Administrative Services, Software"
AvairSense,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Other, Science and Engineering, Software"
Linen,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software"
Jupe,"Energy, Internet Services, Natural Resources, Real Estate, Sports, Sustainability, Travel and Tourism"
Reploy,"Information Technology, Software"
Pactima,"Information Technology, Other, Software"
Triplit,"Data and Analytics, Software"
Keeper_1,"Apps, Financial Services, Professional Services, Software"
Avion School,"Education, Software"
Respaid,"Administrative Services, Financial Services, Payments"
Trident Bioscience,"Biotechnology, Health Care, Science and Engineering"
Filta,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Other, Payments, Software"
FifthTry,"Information Technology, Software"
Backlot,"Content and Publishing, Design, Hardware, Media and Entertainment, Other, Software, Video"
Inedit,"Media and Entertainment, Sales and Marketing"
Stackshine,"Information Technology, Internet Services, Software"
Maytana,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Software"
Rethoric,"Media and Entertainment, Professional Services, Sales and Marketing"
SalaryBook,"Financial Services, Software"
Membo,"Administrative Services, Consumer Goods, Food and Beverage"
Eat Blueprint,"Food and Beverage, Health Care, Manufacturing"
Veera Health,"Apps, Health Care, Media and Entertainment, Professional Services, Software"
Fresh Factory,"Other, Transportation"
Together Video Chat,"Apps, Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software"
Ostrym,Software
Nebo,"Financial Services, Professional Services, Software"
Roin Technologies,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software"
Parade,"Advertising, Sales and Marketing, Software"
Oco Meals,"Food and Beverage, Transportation"
